id,name,slug,category,price,compare_price,stock,is_featured,is_best_seller,is_custom_build,component_type,description,specifications,image_path,in_stock,rating_avg,review_count
18,Corsair iCUE H150i Elite LCD XT,corsair-h150i-elite-lcd,Cooling,259.99,,10,True,False,False,cooling,The Corsair iCUE H150i Elite LCD XT delivers exceptional performance for gaming and professional workloads.,"Type: 360mm AIO Liquid Cooler, Fan Size: 3x 120mm, RGB: Yes, LCD Display: Yes",,True,4.0,1
17,EVGA SuperNOVA 850 G7,evga-supernova-850-g7,Power Supplies,149.99,,18,False,False,False,psu,The EVGA SuperNOVA 850 G7 delivers exceptional performance for gaming and professional workloads.,"Wattage: 850W, Rating: 80+ Gold, Modular: Fully Modular, Form Factor: ATX",,True,4.0,1
16,Corsair RM1000x Shift 1000W,corsair-rm1000x-shift,Power Supplies,189.99,,12,True,False,False,psu,The Corsair RM1000x Shift 1000W delivers exceptional performance for gaming and professional workloads.,"Wattage: 1000W, Rating: 80+ Gold, Modular: Fully Modular, Form Factor: ATX",,True,0.0,0
15,Seagate Barracuda 2TB HDD,seagate-barracuda-2tb,Storage,64.99,,50,False,False,False,storage,The Seagate Barracuda 2TB HDD delivers exceptional performance for gaming and professional workloads.,"Capacity: 2TB, Interface: SATA III, RPM: 7200, Cache: 256MB",,True,0.0,0
14,WD Black SN850X 1TB,wd-black-sn850x-1tb,Storage,139.99,,30,False,False,False,storage,The WD Black SN850X 1TB delivers exceptional performance for gaming and professional workloads.,"Capacity: 1TB, Interface: PCIe 4.0 NVMe M.2, Seq Read: 7,300 MB/s, Seq Write: 6,300 MB/s",,True,0.0,0
13,Samsung 990 Pro 2TB NVMe SSD,samsung-990-pro-2tb,Storage,249.99,,28,True,True,False,storage,The Samsung 990 Pro 2TB NVMe SSD delivers exceptional performance for gaming and professional workloads.,"Capacity: 2TB, Interface: PCIe 4.0 NVMe M.2, Seq Read: 7,450 MB/s, Seq Write: 6,900 MB/s",,True,0.0,0
12,Corsair Vengeance 64GB DDR5-5600,corsair-vengeance-64gb-ddr5,RAM,199.99,,20,False,False,False,ram,The Corsair Vengeance 64GB DDR5-5600 delivers exceptional performance for gaming and professional workloads.,"Capacity: 64GB (2x32GB), Type: DDR5-5600, Timings: CL40, RGB: No",,True,0.0,0
11,G.Skill Trident Z5 RGB 32GB DDR5-6000,gskill-trident-z5-32gb-ddr5,RAM,119.99,,35,False,True,False,ram,The G.Skill Trident Z5 RGB 32GB DDR5-6000 delivers exceptional performance for gaming and professional workloads.,"Capacity: 32GB (2x16GB), Type: DDR5-6000, Timings: CL30-38-38-96, Voltage: 1.35V, RGB: Yes",,True,0.0,0
10,MSI MAG Z790 Tomahawk,msi-mag-z790-tomahawk,Motherboards,259.99,,14,False,True,False,motherboard,The MSI MAG Z790 Tomahawk delivers exceptional performance for gaming and professional workloads.,"Socket: LGA 1700, Chipset: Z790, Form Factor: ATX, RAM Slots: 4x DDR5, PCIe Slots: 1x PCIe 5.0 x16",,True,0.0,0
9,ASUS ROG Crosshair X670E Hero,asus-rog-crosshair-x670e,Motherboards,499.99,,8,True,False,False,motherboard,The ASUS ROG Crosshair X670E Hero delivers exceptional performance for gaming and professional workloads.,"Socket: AM5, Chipset: X670E, Form Factor: ATX, RAM Slots: 4x DDR5, PCIe Slots: 2x PCIe 5.0 x16",,True,0.0,0
8,NVIDIA GeForce RTX 4060,nvidia-rtx-4060,GPUs,299.99,,20,False,False,False,gpu,The NVIDIA GeForce RTX 4060 delivers exceptional performance for gaming and professional workloads.,"CUDA Cores: 3072, VRAM: 8GB GDDR6, Boost Clock: 2.46 GHz, TDP: 115W",,True,0.0,0
7,NVIDIA GeForce RTX 4070 Ti,nvidia-rtx-4070-ti,GPUs,799.99,,15,False,True,False,gpu,The NVIDIA GeForce RTX 4070 Ti delivers exceptional performance for gaming and professional workloads.,"CUDA Cores: 7680, VRAM: 12GB GDDR6X, Boost Clock: 2.61 GHz, TDP: 285W",,True,0.0,0
6,AMD Radeon RX 7900 XTX,amd-rx-7900-xtx,GPUs,999.99,,12,True,False,False,gpu,The AMD Radeon RX 7900 XTX delivers exceptional performance for gaming and professional workloads.,"Compute Units: 96, VRAM: 24GB GDDR6, Game Clock: 2.3 GHz, TDP: 355W, Interface: PCIe 4.0 x16",,True,0.0,0
5,NVIDIA GeForce RTX 4090,nvidia-rtx-4090,GPUs,1799.99,,5,True,True,False,gpu,The NVIDIA GeForce RTX 4090 delivers exceptional performance for gaming and professional workloads.,"CUDA Cores: 16384, VRAM: 24GB GDDR6X, Boost Clock: 2.52 GHz, TDP: 450W, Interface: PCIe 4.0 x16",,True,0.0,0
4,Intel Core i5-14600K,intel-core-i5-14600k,CPUs,319.99,,22,False,False,False,cpu,The Intel Core i5-14600K delivers exceptional performance for gaming and professional workloads.,"Cores: 14 (6P + 8E), Threads: 20, Max Turbo: 5.3 GHz, TDP: 181W, Socket: LGA 1700",,True,0.0,0
3,AMD Ryzen 7 7800X3D,amd-ryzen-7-7800x3d,CPUs,449.99,,30,False,True,False,cpu,The AMD Ryzen 7 7800X3D delivers exceptional performance for gaming and professional workloads.,"Cores: 8, Threads: 16, Base Clock: 4.2 GHz, Boost Clock: 5.0 GHz, Cache: 96MB 3D V-Cache, Socket: AM5",,True,0.0,0
2,Intel Core i9-14900K,intel-core-i9-14900k,CPUs,589.99,,18,True,False,False,cpu,The Intel Core i9-14900K delivers exceptional performance for gaming and professional workloads.,"Cores: 24 (8P + 16E), Threads: 32, Max Turbo: 6.0 GHz, TDP: 253W, Socket: LGA 1700",,True,0.0,0
1,AMD Ryzen 9 7950X,amd-ryzen-9-7950x,CPUs,699.99,,25,True,True,False,cpu,The AMD Ryzen 9 7950X delivers exceptional performance for gaming and professional workloads.,"Cores: 16, Threads: 32, Base Clock: 4.5 GHz, Boost Clock: 5.7 GHz, TDP: 170W, Socket: AM5",,True,0.0,0
